id,funded_amount,loan_amount,activity,sector,use,country_code,country,region,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,repayment_interval,date,gender
1237886,175.0,175.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,KH,Cambodia,Pursat,KHR,311.0,2017-02-14 07:14:28+00:00,2017-01-23 08:00:00+00:00,2017-02-19 00:42:12+00:00,8.0,7,"#Eco-friendly, #Health and Sanitation, #Technology",monthly,2017-02-14,female
1200296,300.0,300.0,General Store,Retail,"to buy soap, bleach, rice, sugar, candy, drinks and bread amongst other products to sell in her store.",SV,El Salvador,Ciudad El Triunfo,USD,199.0,2016-12-07 16:39:01+00:00,2016-11-26 08:00:00+00:00,2016-12-26 22:26:42+00:00,14.0,9,"#Elderly, #Woman Owned Biz",monthly,2016-12-07,female
687158,550.0,550.0,Home Energy,Personal Use,to buy a solar panel home system to install on the roof of his house.,KH,Cambodia,Prey Veng,USD,106.0,2014-03-21 09:27:26+00:00,2014-03-13 07:00:00+00:00,2014-03-25 08:57:23+00:00,20.0,19,,monthly,2014-03-21,male
973805,900.0,900.0,Farming,Agriculture,to buy organic fertilizer to improve her farmland and gain more output.,KH,Cambodia,"Kandal province, Kandal Stoeng district",KHR,204.0,2015-11-05 03:15:16+00:00,2015-10-06 07:00:00+00:00,2015-11-24 07:12:56+00:00,13.0,22,"#Parent, #Sustainable Ag, #Vegan",monthly,2015-11-05,female
1304554,175.0,175.0,Personal Housing Expenses,Housing,to install a water connection at home.,IN,India,Tiruchirappalli,INR,428.0,2017-05-23 12:23:39+00:00,2017-05-17 07:00:00+00:00,2017-05-30 22:12:32+00:00,19.0,7,"user_favorite, #Health and Sanitation",monthly,2017-05-23,female
1167310,400.0,400.0,Cloth & Dressmaking Supplies,Retail,"to buy a greater variety of cloth in different colors for her business, to get a boost in her earnings with her loan.",PK,Pakistan,Abbottabad,PKR,245.0,2016-10-13 10:27:11+00:00,2016-09-30 07:00:00+00:00,2016-10-23 23:30:37+00:00,14.0,12,#Fabrics,monthly,2016-10-13,female
658011,475.0,475.0,Milk Sales,Food,to purchase one more cow. ,PK,Pakistan,Kharian,PKR,245.0,2014-01-16 11:34:46+00:00,2014-01-08 08:00:00+00:00,2014-01-19 08:10:21+00:00,14.0,17,"#Elderly, #Biz Durable Asset, #Animals",monthly,2014-01-16,female
653449,400.0,400.0,Auto Repair,Services,to buy paint and other materials,SV,El Salvador,,USD,81.0,2014-01-03 00:38:49+00:00,2013-12-21 08:00:00+00:00,2014-01-18 00:09:29+00:00,14.0,9,user_favorite,monthly,2014-01-03,male
924573,500.0,500.0,Farming,Agriculture,to purchase six quintals of manure and to pay labor costs which will help him in his cornfield.,SV,El Salvador,Osicala,USD,199.0,2015-07-28 19:00:22+00:00,2015-07-07 07:00:00+00:00,2015-09-05 10:55:16+00:00,11.0,17,"#Parent, #Vegan, #Job Creator",bullet,2015-07-28,male
1247579,575.0,575.0,Cattle,Agriculture,to buy a baby cow and animal food such as dry food and grass for her livestock business.,PK,Pakistan,Muzaffargarh,PKR,247.0,2017-02-28 05:26:47+00:00,2017-02-03 08:00:00+00:00,2017-03-08 22:22:35+00:00,14.0,14,"#Elderly, #Animals",monthly,2017-02-28,female
